word	nodeType	synsetCount	unit
futuristic	ADJ	1	3x1
gaseous	ADJ	1	3x1
old	ADJ	9	3x1
ready	ADJ	8	3x1
great	ADJ	7	3x1
little	ADJ	10	3x1
invisible	ADJ	2	3x1
other	ADJ	4	3x1
same	ADJ	6	3x1
cosmic	ADJ	2	3x1
old	ADJ	9	3x1
bad	ADJ	17	3x1
outer	ADJ	13	3x1
brown	ADJ	8	3x1
More	ADJ	5	3x1
fried	ADJ	4	3x1
okay	ADJ	4	3x1
happy	ADJ	4	3x1
odd	ADJ	6	3x1
annoyed	ADJ	3	3x1
muffy	ADJ	0	3x1
sure	ADJ	10	3x1
many	ADJ	1	3x1
own	ADJ	2	3x1
favorite	ADJ	5	3x1
exciting	ADJ	10	3x1
cool	ADJ	11	3x1
exciting	ADJ	10	3x1
cool	ADJ	11	3x1
exciting	ADJ	10	3x1
possible	ADJ	4	3x1
different	ADJ	5	3x1
past	ADJ	6	3x1
big	ADJ	17	3x1
new	ADJ	12	3x1
cowboy	ADJ	3	3x1
english	ADJ	6	3x1
much	ADJ	7	3x1
new	ADJ	12	3x1
exciting	ADJ	10	3x1
good	ADJ	27	3x1
animated	ADJ	6	3x1
old	ADJ	9	3x1
greek	ADJ	3	3x1
roman	ADJ	7	3x1
high	ADJ	18	3x1
wild	ADJ	17	3x1
boring	ADJ	5	3x1
ready	ADJ	8	3x1
new	ADJ	12	3x1
more	ADJ	5	3x1
antarctic	ADJ	2	3x1
female	ADJ	5	3x1
entire	ADJ	5	3x1
male	ADJ	6	3x1
female	ADJ	5	3x1
big	ADJ	17	3x1
enough	ADJ	3	3x1
nervous	ADJ	5	3x1
right	ADJ	36	3x1
sad	ADJ	3	3x1
sure	ADJ	10	3x1
ghostly	ADJ	1	3x1
bored	ADJ	4	3x1
frilly	ADJ	1	3x1
valuable	ADJ	3	3x1
such	ADJ	2	3x1
exciting	ADJ	10	3x1
new	ADJ	12	3x1
whole	ADJ	8	3x1
wide	ADJ	11	3x1
exciting	ADJ	10	3x1
other	ADJ	4	3x1
fine	ADJ	10	3x1
big	ADJ	17	3x1
interesting	ADJ	4	3x1
old	ADJ	9	3x1
interesting	ADJ	4	3x1
silly	ADJ	5	3x1
old	ADJ	9	3x1
famous	ADJ	1	3x1
white	ADJ	25	3x1
sure	ADJ	10	3x1
white	ADJ	25	3x1
right	ADJ	36	3x1
small	ADJ	13	3x1
famous	ADJ	1	3x1
tall	ADJ	5	3x1
right	ADJ	36	3x1
double	ADJ	21	3x1
right	ADJ	36	3x1
exciting	ADJ	10	3x1
whole	ADJ	8	3x1
high	ADJ	18	3x1
tall	ADJ	5	3x1
exciting	ADJ	10	3x1
northwestern	ADJ	2	3x1
exciting	ADJ	10	3x1
baffled	ADJ	5	3x1
old	ADJ	9	3x1
asleep	ADJ	5	3x1
exciting	ADJ	10	3x1
