word	nodeType	unit
futuristic	ADJ	3x1
gaseous	ADJ	3x1
old	ADJ	3x1
ready	ADJ	3x1
great	ADJ	3x1
little	ADJ	3x1
invisible	ADJ	3x1
other	ADJ	3x1
same	ADJ	3x1
cosmic	ADJ	3x1
old	ADJ	3x1
bad	ADJ	3x1
outer	ADJ	3x1
brown	ADJ	3x1
More	ADJ	3x1
fried	ADJ	3x1
okay	ADJ	3x1
happy	ADJ	3x1
odd	ADJ	3x1
annoyed	ADJ	3x1
muffy	ADJ	3x1
sure	ADJ	3x1
many	ADJ	3x1
own	ADJ	3x1
favorite	ADJ	3x1
exciting	ADJ	3x1
cool	ADJ	3x1
exciting	ADJ	3x1
cool	ADJ	3x1
exciting	ADJ	3x1
possible	ADJ	3x1
different	ADJ	3x1
past	ADJ	3x1
big	ADJ	3x1
new	ADJ	3x1
cowboy	ADJ	3x1
english	ADJ	3x1
much	ADJ	3x1
new	ADJ	3x1
exciting	ADJ	3x1
good	ADJ	3x1
animated	ADJ	3x1
old	ADJ	3x1
greek	ADJ	3x1
roman	ADJ	3x1
high	ADJ	3x1
wild	ADJ	3x1
boring	ADJ	3x1
ready	ADJ	3x1
new	ADJ	3x1
more	ADJ	3x1
antarctic	ADJ	3x1
female	ADJ	3x1
entire	ADJ	3x1
male	ADJ	3x1
female	ADJ	3x1
big	ADJ	3x1
enough	ADJ	3x1
nervous	ADJ	3x1
right	ADJ	3x1
sad	ADJ	3x1
sure	ADJ	3x1
ghostly	ADJ	3x1
bored	ADJ	3x1
frilly	ADJ	3x1
valuable	ADJ	3x1
such	ADJ	3x1
exciting	ADJ	3x1
new	ADJ	3x1
whole	ADJ	3x1
wide	ADJ	3x1
exciting	ADJ	3x1
other	ADJ	3x1
fine	ADJ	3x1
big	ADJ	3x1
interesting	ADJ	3x1
old	ADJ	3x1
interesting	ADJ	3x1
silly	ADJ	3x1
old	ADJ	3x1
famous	ADJ	3x1
white	ADJ	3x1
sure	ADJ	3x1
white	ADJ	3x1
right	ADJ	3x1
small	ADJ	3x1
famous	ADJ	3x1
tall	ADJ	3x1
right	ADJ	3x1
double	ADJ	3x1
right	ADJ	3x1
exciting	ADJ	3x1
whole	ADJ	3x1
high	ADJ	3x1
tall	ADJ	3x1
exciting	ADJ	3x1
northwestern	ADJ	3x1
exciting	ADJ	3x1
baffled	ADJ	3x1
old	ADJ	3x1
asleep	ADJ	3x1
exciting	ADJ	3x1
sure	ADJ	3x1
whole	ADJ	3x1
wide	ADJ	3x1
exciting	ADJ	3x1
different	ADJ	3x1
worth	ADJ	3x1
reproachful	ADJ	3x1
glad	ADJ	3x1
afraid	ADJ	3x1
late	ADJ	3x3
favorite	ADJ	3x3
whole	ADJ	3x3
several	ADJ	3x3
great	ADJ	3x3
frightened	ADJ	3x3
fun	ADJ	3x3
first	ADJ	3x3
protective	ADJ	3x3
electric	ADJ	3x3
like	ADJ	3x3
sure	ADJ	3x3
able	ADJ	3x3
great	ADJ	3x3
good	ADJ	3x3
fun	ADJ	3x3
good	ADJ	3x3
scary	ADJ	3x3
fiery	ADJ	3x3
sure	ADJ	3x3
more	ADJ	3x3
careful	ADJ	3x3
wet	ADJ	3x3
loud	ADJ	3x3
good	ADJ	3x3
sorry	ADJ	3x3
helpful	ADJ	3x3
tall	ADJ	3x3
small	ADJ	3x3
own	ADJ	3x3
open	ADJ	3x3
tired	ADJ	3x3
good	ADJ	3x3
good	ADJ	3x3
yellow	ADJ	3x3
purple	ADJ	3x3
green	ADJ	3x3
normal	ADJ	3x3
important	ADJ	3x3
important	ADJ	3x3
inside	ADJ	3x3
sick	ADJ	3x3
wrinkly	ADJ	3x3
wrong	ADJ	3x3
stupid	ADJ	3x3
stupid	ADJ	3x3
important	ADJ	3x3
okay	ADJ	3x3
open	ADJ	3x3
big	ADJ	3x3
good	ADJ	3x3
other	ADJ	3x3
good	ADJ	3x3
crazy	ADJ	3x3
nice	ADJ	3x3
wet	ADJ	3x3
